fex,ifsel,desc
LEAF1_ORION_FEX102_Host,IFSEL_Po222,ENC VR1002 - BAHIA 1 PTO X1 X2 X3
LEAF1_ORION_FEX102_Host,IFSEL_1_43,ENC VR1002 OA1
LEAF1_ORION_FEX102_Host,IFSEL_1_44,SRVBDBCO -ILO
LEAF1_ORION_FEX102_Host,IFSEL_1_45,SRVBDBCO -ETH3
LEAF1_ORION_FEX104_Host,IFSEL_1_13,ENC N1403 - BAHIA 1 X1
LEAF1_ORION_FEX104_Host,IFSEL_Po2050,ENC N1403 - BAHIA 1 X2
LEAF1_ORION_FEX104_Host,IFSEL_Po2060,ENC N1403 - BAHIA 1 X4
LEAF1_ORION_FEX104_Host,IFSEL_Po2051,ENC N1403 - BAHIA 2 X2
LEAF1_ORION_FEX104_Host,IFSEL_Po2061,ENC N1403 - BAHIA 2 X4
LEAF1_ORION_FEX104_Host,IFSEL_1_18,ENC N1403 OA 1
LEAF1_ORION_FEX104_Host,IFSEL_1_7,ENC N1402 - BAHIA 1 X1
LEAF1_ORION_FEX104_Host,IFSEL_Po2030,ENC N1402 - BAHIA 1 X2
LEAF1_ORION_FEX104_Host,IFSEL_Po2040,ENC N1402 - BAHIA 1 X4
LEAF1_ORION_FEX104_Host,IFSEL_Po2031,ENC N1402 - BAHIA 2 X2
LEAF1_ORION_FEX104_Host,IFSEL_Po2041,ENC N1402 - BAHIA 2 X4
LEAF1_ORION_FEX104_Host,IFSEL_1_12,ENC N1402 OA 1
LEAF1_ORION_FEX104_Host,IFSEL_1_1,ENC N1401 - BAHIA 1 X1
LEAF1_ORION_FEX104_Host,IFSEL_Po1,ENC N1401 - BAHIA 1 X2
LEAF1_ORION_FEX104_Host,IFSEL_Po2,ENC N1401 - BAHIA 1 X4
LEAF1_ORION_FEX104_Host,IFSEL_Po7,ENC N1401 - BAHIA 2 X2
LEAF1_ORION_FEX104_Host,IFSEL_Po8,ENC N1401 - BAHIA 2 X4
LEAF1_ORION_FEX104_Host,IFSEL_1_5,ENC N1401 OA 1
LEAF1_ORION_FEX102_Host,IFSEL_1_47,CRONUS71 PTO ETH1
LEAF1_ORION_FEX102_Host,IFSEL_1_46,SERVCARTERA - ETH1
